standardised_income_difficulties_cant_afford_night_out__synthetic_estimates, median_equivalised_household_income_synthetic_estimates, standardised_income_difficulties_access_money_synthetic_estimates, standardised_gini_coefficient_synthetic_estimates, standardised_leaving_low_income_from_benefit__synthetic_estimates, income_difficulties_cant_afford_night_out__synthetic_estimates, gini_coefficient_synthetic_estimates, median_disposable_household_income_synthetic_estimates, poverty_rate_synthetic_estimates, standardised_poverty_rate_synthetic_estimates, sa2_main11, standardised_median_disposable_household_income_synthetic_estimates, income_difficulties_access_money_synthetic_estimates, standardised_median_equivalised_household_income_synthetic_estimates, sa2_name11, leaving_low_income_from_benefit__synthetic_estimates
0.483415709,1035.4,0.687515958,1.03138855,1.235159373,8.8,0.29,1325.8,6.7,0.695482165,801091109,1.238165718,9.0,1.638055367,"Phillip",27.18
0.659203239,928.4,0.641681561,1.209214162,1.13881876,12.0,0.34,1515.6,4.2,0.435973894,801091108,1.415420095,8.4,1.468775934,"Pearce",25.06
0.582296195,1187.2,0.458343972,1.280344407,1.425113979,10.6,0.36,2095.8,4.5,0.467114887,801091107,1.957269355,6.0,1.878210673,"O''Malley",31.36
0.626243077,888.0,0.76390662,1.244779284,1.151997429,11.4,0.35,1323.6,6.0,0.622819849,801091106,1.236111136,10.0,1.404861083,"Mawson",25.35
0.802030608,778.6,1.100025533,1.173649039,1.158813981,14.6,0.33,1203.8,8.0,0.830426466,801091105,1.124229817,14.4,1.231784729,"Lyons (ACT)",25.5
0.593282916,1008.2,0.626403428,1.209214162,0.970677123,10.8,0.34,1599.0,3.4,0.352931248,801091104,1.493307424,8.2,1.595023586,"Isaacs",21.36
0.527362592,1087.6,0.565290899,1.173649039,1.162903913,9.6,0.33,1701.4,3.3,0.342550917,801091102,1.588938868,7.4,1.720638417,"Garran",25.59
0.593282916,965.6,0.595847163,1.173649039,1.071562105,10.8,0.33,1614.6,4.0,0.415213233,801091101,1.507876277,7.8,1.527628223,"Farrer",23.58
0.637229798,1012.6,0.656959693,1.173649039,1.030662788,11.6,0.33,1581.8,3.4,0.352931248,801091100,1.477244329,8.6,1.601984609,"Curtin",22.68
0.747097005,854.2,0.718072223,1.138083917,1.11564248,13.6,0.32,1420.2,5.5,0.570918195,801081093,1.326325956,9.4,1.351387767,"Fisher",24.55
0.681176681,938.0,0.779184752,1.138083917,1.18789794,12.4,0.32,1624.8,4.2,0.435973894,801081092,1.517402065,10.2,1.483963622,"Duffy",26.14
0.483415709,1087.6,0.458343972,1.102518795,1.257426779,8.8,0.31,1917.4,3.1,0.321790255,801081091,1.790661447,6.0,1.720638417,"Chapman",27.67
0.813017329,881.2,1.023634871,1.102518795,1.326501181,14.8,0.31,1434.0,7.1,0.737003488,801081097,1.339213787,13.4,1.394103138,"Waramanga",29.19
0.824004049,869.2,0.977800473,1.138083917,1.206075414,15.0,0.32,1557.0,5.9,0.612439518,801071090,1.454083589,12.8,1.375118529,"Wanniassa",26.54
0.802030608,832.8,0.855575414,1.066953672,1.022482925,14.6,0.3,1514.6,4.3,0.446354225,801081096,1.414486194,11.2,1.317531881,"Stirling",22.5
null,null,null,null,null,null,null,null,null,null,801071089,null,null,null,"Tuggeranong",null
0.933871256,859.0,0.947244209,1.066953672,0.992035655,17.0,0.3,1609.2,5.3,0.550157533,801071088,1.502833212,12.4,1.358981611,"Theodore",21.83
1.043738462,746.6,1.344475651,0.995823427,1.046568078,19.0,0.28,1436.0,7.2,0.747383819,801071087,1.341081589,17.6,1.181159104,"Richardson",23.03
0.900911094,873.4,1.206972459,1.173649039,1.004305451,16.4,0.33,1614.6,4.1,0.425593564,801071086,1.507876277,15.8,1.381763142,"Oxley (ACT)",22.1
null,null,null,null,null,null,null,null,null,null,801071085,null,null,null,"Mount Taylor",null
0.736110284,871.6,0.672237825,1.138083917,1.078833095,13.4,0.32,1557.0,4.4,0.456734556,801071084,1.454083589,8.8,1.378915451,"Monash",23.74
0.856964211,852.8,1.008356738,1.066953672,1.044750331,15.6,0.3,1434.6,5.8,0.602059188,801081095,1.339774128,13.2,1.349172896,"Rivett",22.99
0.549336033,1062.8,0.504178369,1.102518795,1.046113641,10.0,0.31,1942.8,1.8,0.186845955,801071083,1.814382528,6.6,1.681403558,"Macarthur",23.02
