"empl_ind_construction_%","agri_gross_value_livestock_m$","indstry_bus_trnsprt_pst_wrhsng_cnt","indstry_bus_prof_sci_tech_cnt","vhcl_light_rigid_truck","insolv_tot_debator_entr_bus_rel_per_insolv","agri_meat_chiecken_cnt","agri_broadacre_tot_area","bus_exit_20_plus_emply_cnt","year","vhcl_non_freight_truck","bus_exit_no_emply_cnt","empl_ind_admin_safety_%","fuel_type_diesel","bus_no_emply_cnt","bld_app_priv_dwl_exc_hs_cnt","sel_cause_non_bus_rel_insolv_caused_by_unemploy_loss_income","empl_ind_mnfctrng_%","res_prop_att_dwl_trnsfrs_cnt","indstry_bus_construction_cnt","vhcl_reg_over_10_yrs","vhcl_light_commercial","indstry_bus_mining_cnt","vhcl_heavy_rigid_truck","occ_debtor_service_worker","fuel_type_electric","vhcl_tot","p_t_trdmrk_apps_cnt","indstry_bus_hlth_soc_ass_cnt","indstry_bus_art_rec_cnt","agri_meat_cattle_cnt","empl_ind_admin_supp_%","bld_app_tot_priv_dwl_val_aud","bus_exit_5_19_emply_cnt","indstry_bus_admin_supp_cnt","bld_app_tot_non_res_bld_val_aud","occ_debtor_technician_trade","indstry_bus_retail_trd_cnt","vhcl_reg_less_than_5_yrs","vhcl_campervans","bld_app_tot_priv_dwl_cnt","indstry_bus_financ_insur_cnt","agri_gross_value_agri_production_m$","empl_ind_whlsle_trd_%","indstry_bus_accom_food_cnt","bld_app_priv_hse_cnt","fuel_type_petrol","vhcl_passenger","occ_debtor_professional","indstry_bus_tot_cnt","empl_ind_oth_serv_%","bld_app_priv_hse_val_aud","sel_cause_bus_rel_insolv_caused_by_economic","bld_app_priv_dwl_exc_hs_val_aud","indstry_bus_current_unkwn_cnt","indstry_bus_whlsle_trd_cnt","tourist_accom_over_15_rooms","bus_entr_tot_cnt","agri_area_holding","empl_ind_mining_%","occ_debtor_other_unkwn","empl_ind_edu_train_%","agri_veg_human_consumption","bus_entr_no_emply_cnt","bus_20_plus_emply_cnt","indstry_bus_ag_frst_fsh_cnt","indstry_bus_oth_serv_cnt","p_t_patent_apps_cnt","indstry_bus_rent_rl_est_cnt","indstry_bus_infomedia_telecom_cnt","bus_entr_5_19_emply_cnt","bld_app_tot_res_bld_val_aud","occ_debtor_sales_worker","indstry_bus_mnfctrng_cnt","bus_entr_20_plus_emply_cnt","indstry_bus_edu_train_cnt","sa3_code16","agri_gross_value_crops_m$","res_prop_att_dwl_med_sal_prc_aud","empl_ind_hlth_soc_assist_%","agri_fruit_nut_orchard_tree","occ_debtor_machinery_op_driver","vhcl_motorcycles","empl_ind_ag_frst_fsh_%","empl_tot","bus_tot_cnt","agri_dairy_cattle_cnt","occ_debtor_labourer","bld_app_tot_dwl_cnt","empl_ind_prof_sci_tech_cnt_%","agri_sheep_cnt","bus_5_19_emply_cnt","empl_ind_retail_trd_%","fuel_type_lpg_dual_other","insolv_tot_debator_entr_per_insolv","bus_entr_1_4_emply_cnt","occ_debtor_clerical_admin","empl_ind_trnsprt_pst_wrhsng_%","sel_cause_non_bus_rel_insolv_caused_by_excess_credit_use","empl_ind_elc_gs_wtr_wst_%","res_prop_hse_med_sal_prc_aud","empl_ind_rent_rl_est_%","agri_pig_cnt","vhcl_buses","insolv_tot_debator_entr_non_bus_rel_per_insolv","bus_exit_tot_cnt","empl_ind_financ_insur_%","indstry_bus_elc_gs_wtr_wst_cnt","bld_app_tot_bld_val_aud","res_prop_hse_trnsfs_cnt","vhcl_reg_5_to_10","bus_1_4_emply_cnt","empl_ind_accom_food_%","empl_ind_art_rec_%","occ_debtor_manager","bus_exit_1_4_emply_cnt","indstry_bus_pub_admin_safety_cnt","vhcl_articulated_truck","sa3_name16","empl_ind_infomedia_telecom_%"
"null","null","325","478","477","9","null","null","3",2015,"13","428","null","11218","2756","49","29","null","314.0","1112","21167","9578","14","1299","12","25","44474","86","134","63","null","null","126.0","25","152","11.0","20","215","10481","90","383","241","null","null","153","334","32139","30331","8","4565","null","116.0","4","10.0","50","90","14","525","null","null","null","null","null","341","80","583","211","11","399","30","21","129.0","9","203","3","66",10102,"null","320000.0","null","null","12","2384","null","null","4565","null","9","383","null","null","440","null","1127","93","158","7","null","20","null","553750.0","null","null","180","84","576","null","18","139.0","766.0","12829","1287","null","null","10","123","17","122","Queanbeyan","null"
"null","null","119","170","151","6","null","null","null",2015,"14","161","null","5818","1362","32","4","null","106.0","375","9363","5041","4","511","3","4","16910","29","79","26","null","null","23.0","13","69","8.0","7","145","3314","45","77","103","null","null","184","45","10856","10133","null","2461","null","17.0","null","6.0","15","47","59","227","null","null","null","null","null","149","36","753","79","5","171","8","12","24.0","null","67","3","28",10103,"null","240000.0","null","null","null","799","null","null","2461","null","6","77","null","null","333","null","312","30","64","5","null","12","null","270000.0","null","null","142","24","220","null","6","32.0","300.0","4229","725","null","null","null","50","4","74","Snowy Mountains","null"
"null","null","286","424","459","23","null","null","null",2015,"17","420","null","14202","3080","38","29","null","417.0","1145","34118","12763","10","1088","20","6","60051","92","279","65","null","null","138.0","33","170","60.0","14","507","11332","360","401","279","null","null","432","363","44740","41644","8","5657","null","131.0","7","7.0","41","121","55","506","null","null","19","null","null","305","95","769","288","11","493","31","23","142.0","8","223","null","60",10104,"null","255000.0","null","null","9","3180","null","null","5657","null","11","401","null","null","623","null","1163","100","171","7","null","9","null","379000.0","null","null","369","77","585","null","17","202.0","1614.0","14607","1853","null","null","4","134","13","171","South Coast","null"
"null","null","175","211","282","6","null","null","null",2015,"15","231","null","7543","1881","12","14","null","null","427","15733","7813","4","791","7","null","29721","42","127","42","null","null","51.0","14","64","29.0","8","177","6733","100","199","141","null","null","114","187","21477","19102","null","3196","null","50.0","null","2.0","23","66","14","307","null","null","10","null","null","219","40","1146","141","6","200","15","6","55.0","null","83","null","29",10105,"null","null","null","null","null","1347","null","null","3196","null","3","201","null","null","306","null","727","44","80","4","null","10","null","null","null","null","146","38","310","null","9","84.0","null","7269","969","null","null","null","70","9","125","Goulburn  Mulwaree","null"
"null","null","218","292","349","6","null","null","3",2015,"25","278","null","10817","2455","22","14","null","null","602","16383","9117","13","1290","8","null","31339","44","99","53","null","null","76.0","21","86","26.0","9","216","6973","95","236","179","null","null","130","214","19937","18678","null","4306","null","70.0","null","6.0","30","107","15","393","null","null","10","null","null","245","71","1752","125","6","230","4","17","78.0","5","122","3","31",10106,"null","null","null","null","4","1334","null","null","4306","null","4","236","null","null","462","null","685","46","125","5","null","11","null","null","null","null","131","40","400","null","13","104.0","null","8005","1324","null","null","null","100","4","320","Young  Yass","null"
"null","null","500","1750","868","44","null","null","11",2015,"37","1251","null","18453","7156","486","71","null","1303.0","2635","59687","15858","26","1277","36","9","125818","370","981","229","null","null","241.0","66","532","123.0","53","849","30651","431","872","1055","null","null","518","386","104412","101485","21","12958","null","146.0","15","95.0","133","423","23","1665","null","null","19","null","null","1052","274","336","582","37","1402","147","54","249.0","23","526","6","211",10201,"null","410000.0","null","null","18","5317","null","null","12958","null","31","872","null","null","1253","null","2744","258","560","31","null","76","null","570000.0","null","null","389","214","1704","null","51","372.0","3555.0","35515","4276","null","null","26","379","63","156","Gosford","null"
"null","null","512","853","796","44","null","null","6",2015,"33","773","null","16942","4549","93","101","null","713.0","2093","59432","15919","12","1296","43","3","115466","158","425","116","null","null","133.0","78","353","96.0","53","585","25258","538","555","557","null","null","397","462","95536","90799","26","8368","null","115.0","14","18.0","96","269","17","1103","null","null","38","null","null","679","171","182","500","17","769","64","39","150.0","36","364","3","141",10202,"null","322000.0","null","null","27","5328","null","null","8368","null","35","556","null","null","875","null","2923","319","386","37","null","73","null","425000.0","null","null","473","275","1176","null","39","246.0","3814.0","30783","2773","null","null","24","319","52","284","Wyong","null"
"null","null","240","285","353","8","null","null","null",2015,"22","308","null","9964","2329","122","28","null","111.0","664","18383","9236","19","956","14","null","37128","28","176","51","null","null","104.0","12","112","61.0","15","207","9139","105","390","199","null","null","163","268","26669","24033","7","3903","null","81.0","null","23.0","18","87","19","361","null","null","9","null","null","249","84","930","183","15","340","21","13","105.0","5","141","null","49",10301,"null","236000.0","null","null","11","2007","null","null","3903","null","18","390","null","null","410","null","591","86","97","5","null","27","null","355000.0","null","null","146","78","390","null","7","167.0","825.0","9571","1086","null","null","null","67","13","270","Bathurst","null"
"null","null","407","214","481","13","null","null","null",2015,"37","463","null","18106","3704","5","20","null","27.0","588","27448","15842","20","2041","13","null","50162","54","143","44","null","null","42.0","37","89","75.0","9","363","10667","168","143","215","null","null","260","138","31606","28094","3","6463","null","41.0","null","1.0","36","165","35","561","null","null","14","null","null","342","87","3003","275","21","369","8","26","44.0","6","191","null","35",10302,"null","215000.0","null","null","4","2045","null","null","6463","null","15","145","null","null","730","null","676","75","194","4","null","18","null","197500.0","null","null","322","62","625","null","23","119.0","933.0","12133","1950","null","null","7","119","11","1132","Lachlan Valley","null"
"null","null","205","222","383","4","null","null","3",2015,"31","328","null","11739","2298","3","27","null","52.0","583","21533","11681","36","1164","13","null","39534","66","144","32","null","null","45.0","21","93","22.0","11","255","8287","111","149","130","null","null","208","146","27228","23500","4","3884","null","43.0","null","2.0","23","88","18","355","null","null","8","null","null","211","57","1206","159","15","248","12","8","45.0","6","162","3","34",10303,"null","254250.0","null","null","5","2341","null","null","3884","null","10","149","null","null","426","null","682","69","132","9","null","16","null","285000.0","null","null","156","65","459","null","9","67.0","925.0","9683","1096","null","null","null","103","16","167","Lithgow  Mudgee","null"
